Series,Week,Player,Score,Points,Rank,Points without double points Friday,Score if double score Friday,Rank without double points Friday,Rank based on Score,Rank if Double Score Friday,Change in winner with no double points Friday?,Change in winner based on Score?,Change in winner if Double Score Friday?
5,2,Jamali Maddix,21,10,4,9.0,28,4,4,4,False,False,False
5,3,Joe Thomas,50,23,1,19.0,64,1,1,1,False,False,False
5,3,Jake Wood,35,15,2,14.0,37,2,2,2,False,False,False
5,3,Lucy Beaumont,25,11,3,9.0,29,3,3,3,False,False,False
5,3,Shazia Mirza,19,11,3,8.0,26,4,4,4,True,True,True
5,4,Kevin Clifton,37,19,1,15.0,46,1,1,1,False,False,False
5,4,JJ Chalmers,36,16,2,13.0,43,2,2,2,False,False,False
5,4,Kemah Bob,33,15,3,13.0,40,2,4,3,True,True,False
5,4,Victoria Derbyshire,34,14,4,13.0,40,2,3,3,True,True,True
5,5,Mark Chapman,54,21,1,18.0,63,1,1,1,False,False,False
5,5,Kaye Adams,36,18,2,14.0,46,2,2,2,False,False,False
5,5,Philip Glenister,32,15,3,13.0,39,3,3,3,False,False,False
5,5,Thanyia Moore,19,8,4,7.0,24,4,4,4,False,False,False
5,6,Ed Byrne,56,23,1,19.0,68,1,1,1,False,False,False
5,6,Ingrid Oliver,51,19,2,16.0,62,2,2,2,False,False,False
5,6,Ruby Bhogal,26,13,3,11.0,30,3,4,4,False,True,True
5,6,Sir Matthew Pinsent,29,12,4,11.0,33,3,3,3,True,True,True
5,7,Cariad Lloyd,51,21,1,18.0,63,1,1,1,False,False,False
5,7,Yasmine Akram,40,18,2,14.0,53,2,2,2,False,False,False
5,7,Geoff Norcott,34,12,3,11.0,39,3,3,3,False,False,False
5,7,Dennis Taylor,20,9,4,7.0,26,4,4,4,False,False,False
5,8,Sanjeev Kohli,50,21,1,17.0,63,1,1,1,False,False,False
5,8,Roger Black,37,17,2,15.0,43,2,2,2,False,False,False
5,8,Tiff Stevenson,31,13,3,10.0,39,3,3,3,False,False,False
5,8,Jo Brand,24,10,4,9.0,27,4,4,4,False,False,False
5,9,Matt Edmondson,47,22,1,18.0,59,1,2,2,False,True,True
5,9,Andy Hamilton,53,19,2,16.0,63,2,1,1,False,True,True
5,9,Kirsty Wark,32,13,3,11.0,38,3,3,3,False,False,False
5,9,Sabrina Grant,18,7,4,6.0,22,4,4,4,False,False,False
5,10,Bill Turnbull,46,23,1,19.0,55,1,1,1,False,False,False
5,10,Joanne McNally,30,17,2,14.0,37,2,2,2,False,False,False
5,10,Michelle Collins,19,13,3,11.0,24,3,3,3,False,False,False
5,10,Reginald D Hunter,11,9,4,8.0,12,4,4,4,False,False,False
5,11,Chris Washington,43,23,1,19.0,51,1,1,1,False,False,False
5,11,Sean Fletcher,26,16,2,13.0,30,3,2,2,True,False,False
5,11,Louise Minchin,24,16,2,14.0,28,2,3,3,False,True,True
5,11,Kimberly Wyatt,20,9,4,8.0,22,4,4,4,False,False,False
5,12,Sarah Millican,56,23,1,19.0,70,1,1,1,False,False,False
5,12,Luke Kempner,36,19,2,16.0,45,2,2,2,False,False,False
5,12,Nabil Abdulrashid,27,11,3,9.0,35,3,3,3,False,False,False
5,12,Philippa Perry,24,10,4,9.0,27,3,4,4,True,False,False
5,13,Mike Wozniak,43,21,1,17.0,54,1,1,1,False,False,False
5,13,Clare Balding,40,17,2,15.0,45,2,2,2,False,False,False
5,13,Jamie Laing,26,15,3,12.0,32,3,3,3,False,False,False
5,13,Mehreen Baig,18,8,4,7.0,22,4,4,4,False,False,False
5,14,Martin Lewis,46,20,1,16.0,56,1,1,1,False,False,False
5,14,Edith Bowman,44,16,2,14.0,50,2,2,2,False,False,False
5,14,Fern Brady,38,15,3,12.0,47,3,3,3,False,False,False
5,14,Will Kirk,32,10,4,9.0,35,4,4,4,False,False,False
5,15,Toby Tarrant,43,22,1,18.0,50,1,1,1,False,False,False
5,15,Nick Helm,30,17,2,14.0,36,2,3,2,False,True,False
5,15,Athena Kugblenu,31,15,3,13.0,36,3,2,2,False,True,True
5,15,Nina Conti,20,9,4,8.0,25,4,4,4,False,False,False
5,16,Simon Hickson,62,23,1,19.0,77,1,1,1,False,False,False
5,16,Jessie Cave,29,16,2,13.0,35,2,3,3,False,True,True
5,16,Ayesha Hazarika,34,13,3,11.0,39,3,2,2,False,True,True
5,16,AJ Pritchard,20,11,4,10.0,25,4,4,4,False,False,False
5,17,Sally Phillips (C),48,20,1,16.0,60,1,1,1,False,False,False
5,17,Vikki Stone (C),32,17,2,14.0,41,2,3,3,False,True,True
5,17,Dan Walker (C),37,16,3,14.0,45,2,2,2,True,True,True
5,17,Rickie Haywood-Williams (C),16,8,4,7.0,16,4,4,4,False,False,False
5,18,Ivo Graham (C),57,22,1,18.0,71,1,1,1,False,False,False
5,18,Maisie Adam (C),41,18,2,15.0,49,2,2,2,False,False,False
5,18,Zoe Lyons (C),30,14,3,12.0,35,3,3,3,False,False,False
5,18,Dev Griffin (C),14,7,4,6.0,17,4,4,4,False,False,False
